zone,counts,R_gal
0,0,0.05
1,0,0.15
2,0,0.25
3,0,0.35
4,0,0.45
5,0,0.55
6,0,0.65
7,0,0.75
8,0,0.85
9,0,0.95
10,0,1.05
11,0,1.15
12,0,1.25
13,0,1.35
14,0,1.45
15,0,1.55
16,1,1.65
17,0,1.75
18,0,1.85
19,0,1.95
20,0,2.05
21,0,2.15
22,1,2.25
23,0,2.35
24,2,2.45
25,0,2.55
26,1,2.65
27,0,2.75
28,0,2.85
29,0,2.95
30,0,3.05
31,0,3.15
32,1,3.25
33,0,3.35
34,0,3.45
35,0,3.55
36,1,3.65
37,0,3.75
38,2,3.85
39,0,3.95
40,0,4.05
41,0,4.15
42,0,4.25
43,0,4.35
44,1,4.45
45,0,4.55
46,1,4.65
47,2,4.75
48,0,4.85
49,1,4.95
50,1,5.05
51,1,5.15
52,2,5.25
53,2,5.35
54,2,5.45
55,5,5.55
56,5,5.65
57,2,5.75
58,4,5.85
59,7,5.95
60,9,6.05
61,16,6.15
62,14,6.25
63,19,6.35
64,34,6.45
65,27,6.55
66,38,6.65
67,61,6.75
68,80,6.85
69,102,6.95
70,94,7.05
71,119,7.15
72,125,7.25
73,174,7.35
74,206,7.45
75,372,7.55
76,475,7.65
77,729,7.75
78,901,7.85
79,1395,7.95
80,2018,8.05
81,2024,8.15
82,1178,8.25
83,977,8.35
84,937,8.45
85,820,8.55
86,729,8.65
87,587,8.75
88,458,8.85
89,389,8.95
90,296,9.05
91,202,9.15
92,162,9.25
93,123,9.35
94,89,9.45
95,60,9.55
96,43,9.65
97,38,9.75
98,39,9.85
99,21,9.95
100,10,10.05
101,12,10.15
102,7,10.25
103,5,10.35
104,9,10.45
105,9,10.55
106,4,10.65
107,3,10.75
108,2,10.85
109,4,10.95
110,1,11.05
111,0,11.15
112,2,11.25
113,3,11.35
114,1,11.45
115,1,11.55
116,5,11.65
117,2,11.75
118,0,11.85
119,0,11.95
120,1,12.05
121,0,12.15
122,1,12.25
123,0,12.35
124,0,12.45
125,1,12.55
126,1,12.65
127,0,12.75
128,0,12.85
129,1,12.95
130,1,13.05
131,0,13.15
132,0,13.25
133,0,13.35
134,0,13.45
135,0,13.55
136,0,13.65
137,0,13.75
138,0,13.85
139,0,13.95
140,0,14.05
141,0,14.15
142,0,14.25
143,0,14.35
144,0,14.45
145,0,14.55
146,0,14.65
147,0,14.75
148,0,14.85
149,0,14.95
150,0,15.05
151,2,15.15
152,0,15.25
153,0,15.35
154,0,15.45
155,0,15.55
156,0,15.65
157,0,15.75
158,0,15.85
159,0,15.95
160,0,16.05
161,0,16.15
162,0,16.25
163,0,16.35
164,0,16.45
165,0,16.55
166,0,16.65
167,1,16.75
168,0,16.85
169,0,16.95
170,0,17.05
171,0,17.15
172,0,17.25
173,0,17.35
174,0,17.45
175,0,17.55
176,0,17.65
177,0,17.75
178,0,17.85
179,0,17.95
180,0,18.05
181,0,18.15
182,0,18.25
183,0,18.35
184,0,18.45
185,0,18.55
186,0,18.65
187,0,18.75
188,0,18.85
189,0,18.95
190,0,19.05
191,0,19.15
192,0,19.25
193,0,19.35
194,0,19.45
195,0,19.55
196,0,19.65
197,0,19.75
198,0,19.85
