name,log_c_o,log_c_o_err,eps_o,eps_o_err
J223831,-0.661,0.095,7.587,0.022
J141851,-0.883,0.065,7.542,0.022
J120202,-0.797,0.093,7.630,0.023
J121402,-0.490,0.102,7.668,0.021
J084236,-0.949,0.114,7.614,0.022
J171236,-0.768,0.102,7.698,0.020
J113116,-0.787,0.142,7.648,0.021
J133126,-0.723,0.075,7.694,0.020
J132853,-1.042,0.116,7.727,0.021
J095430,-0.601,0.111,7.699,0.022
J132347,-1.029,0.079,7.584,0.023
J094718,-0.384,0.118,7.727,0.023
J150934,-0.791,0.087,7.708,0.020
J100348,-0.553,0.129,7.744,0.022
J025346,-0.607,0.111,7.911,0.022
J015809,-0.526,0.143,7.750,0.022
J104654,-0.794,0.102,7.910,0.020
J093006,-0.895,0.101,8.019,0.020
J092055,-0.651,0.121,7.865,0.018
J084956,-0.848,0.313,7.982,0.010
