m,Z,yC,ZC0
1.0,0.02,1.353E-03,3.466E-03
1.65,0.02,4.750E-03,3.466E-03
2.0,0.02,1.894E-02,3.466E-03
3.0,0.02,3.956E-02,3.466E-03
4.0,0.02,3.097E-02,3.466E-03
5.0,0.02,2.335E-02,3.466E-03
6.0,0.02,1.977E-03,3.466E-03
7.0,0.02,2.462E-03,3.466E-03
12.0,0.02,7.880E-02,3.466E-03
1.0,0.01,7.294E-04,1.733E-03
1.65,0.01,4.655E-03,1.733E-03
2.0,0.01,1.852E-02,1.733E-03
3.0,0.01,2.990E-02,1.733E-03
4.0,0.01,1.991E-02,1.733E-03
5.0,0.01,9.310E-03,1.733E-03
6.0,0.01,3.304E-03,1.733E-03
7.0,0.01,2.154E-03,1.733E-03
12.0,0.01,9.055E-02,1.733E-03
1.0,0.006,2.736E-04,7.527E-04
1.65,0.006,7.715E-03,7.527E-04
2.0,0.006,1.786E-02,7.527E-04
3.0,0.006,1.856E-02,7.527E-04
4.0,0.006,9.100E-03,7.527E-04
5.0,0.006,8.749E-04,7.527E-04
6.0,0.006,1.498E-03,7.527E-04
7.0,0.006,1.240E-03,7.527E-04
12.0,0.006,1.023E-01,7.527E-04
1.0,0.001,7.063E-04,1.254E-04
1.65,0.001,1.337E-02,1.254E-04
2.0,0.001,2.608E-02,1.254E-04
3.0,0.001,8.723E-03,1.254E-04
4.0,0.001,4.042E-03,1.254E-04
5.0,0.001,1.234E-03,1.254E-04
6.0,0.001,4.238E-04,1.254E-04
7.0,0.001,1.284E-03,1.254E-04
12.0,0.001,1.200E-01,1.254E-04
1.0,0.0001,8.708E-03,1.254E-05
1.65,0.0001,2.147E-02,1.254E-05
2.0,0.0001,2.356E-02,1.254E-05
3.0,0.0001,8.884E-03,1.254E-05
4.0,0.0001,1.988E-03,1.254E-05
5.0,0.0001,7.856E-04,1.254E-05
6.0,0.0001,2.937E-04,1.254E-05
7.0,0.0001,1.797E-03,1.254E-05
12.0,0.0001,1.226E-01,1.254E-05
